
Gurobi 11.0.3 (linux64) logging started Mon Aug 25 15:11:01 2025

Set parameter LogFile to value "/home/yihong/Coding/OR_SUC/SUC_epstheta_results_bigM100000_thread4/case24_ieee_rts_theta0.1_epsilon0.1_gurobi_seed200000_num_gen100_N_WDR50_load_scaling_factor1_proposed_theta_T14quadra_cost_bc1.03.txt"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Ubuntu 20.04.6 LTS")

CPU model: AMD EPYC 7532 32-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 64 physical cores, 128 logical processors, using up to 4 threads

Academic license 2399124 - for non-commercial use only - registered to yi___@ed.ac.uk
Optimize a model with 33318 rows, 17411 columns and 766758 nonzeros
Model fingerprint: 0x0fa47dd6
Model has 1400 quadratic constraints
Variable types: 16011 continuous, 1400 integer (1400 binary)
Coefficient statistics:
  Matrix range     [3e-04, 2e+03]
  QMatrix range    [2e-03, 8e-03]
  QLMatrix range   [6e-01, 6e+01]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 9e+03]
Presolve removed 27340 rows and 7481 columns
Presolve time: 0.27s
Presolved: 5978 rows, 9930 columns, 33335 nonzeros
Presolved model has 1400 quadratic constraint(s)
Variable types: 8530 continuous, 1400 integer (1400 binary)

Root relaxation: objective 1.669033e+04, 4887 iterations, 0.19 seconds (0.17 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 16690.3265    0    -          - 16690.3265      -     -    0s
     0     0 182969.829    0  418          - 182969.829      -     -    1s
     0     0 339265.839    0  314          - 339265.839      -     -    1s
     0     0 339279.134    0  191          - 339279.134      -     -    1s
     0     0 339423.358    0  104          - 339423.358      -     -    1s
     0     0 339429.409    0  104          - 339429.409      -     -    1s
     0     0 339429.409    0  104          - 339429.409      -     -    1s
     0     0 339430.119    0  104          - 339430.119      -     -    1s
     0     2 339430.119    0  104          - 339430.119      -     -    2s
   228   288 339456.503   55    1          - 339445.784      -  21.3    5s
   400   381 341100.264   39   83          - 339445.784      -  20.8   27s
   596   530 339445.784   37   47          - 339445.784      -  57.2   30s
  1181   899 339456.880   67    -          - 339446.126      -  65.4   35s
  1897  1507 340315.524   59    1          - 339446.126      -  54.4   40s
  2541  2044 339565.594   19   37          - 339446.126      -  50.8   45s
  3412  2953 339706.311   80    -          - 339446.126      -  47.5   50s
  4652  4034 339734.037   65    -          - 339446.126      -  44.1   55s
  5564  4855 339689.651   70    -          - 339446.126      -  43.2   60s
  6988  6194 339662.195   66    -          - 339446.126      -  41.3   65s
  9167  8149 339704.572   32   50          - 339446.126      -  41.1   70s
 10534  9430 339593.811   26   48          - 339446.126      -  41.0   75s
 11953 10241 340304.799   59    -          - 339446.126      -  40.3   80s
 13253 11484 339668.272   66    -          - 339446.126      -  40.0   85s
 14927 12787 340437.409   59    -          - 339446.126      -  39.8   90s
 16378 14150 339834.902   35   29          - 339446.126      -  39.9   95s
 17943 15546 339707.488   27   34          - 339446.126      -  40.7  100s
 18994 16463 339877.210   53    -          - 339446.126      -  40.8  105s
 20544 17799 339652.770   55    -          - 339446.126      -  41.3  110s
 22224 19194 339920.705   54    -          - 339446.126      -  41.6  115s
 23604 20606 339608.884   21   42          - 339446.126      -  41.9  120s
 24310 21191 339831.358   55    -          - 339446.126      -  41.8  125s
 25715 22270 339636.837   28   54          - 339446.126      -  42.1  130s
 26960 23438 339845.958   33   17          - 339446.126      -  42.2  135s
 28184 24672 339564.714   22   30          - 339446.126      -  42.3  140s
 29213 25548          -   57               - 339446.126      -  42.5  145s
 30715 26853 340434.714   65    -          - 339446.126      -  42.7  150s
H31159 26947                    341516.14336 339446.126  0.61%  42.7  152s
*31159 26947              59    341516.14336 339446.126  0.61%  42.7  152s
 31574 26918 339621.155   24   42 341516.143 339446.126  0.61%  42.8  174s
 31578 27122 339705.107   25   42 341516.143 339446.126  0.61%  42.8  175s
 32194 27678 339949.431   39   56 341516.143 339446.126  0.61%  43.0  180s
 32847 28265 339705.423   32   35 341516.143 339446.126  0.61%  43.3  186s
 33221 28543 341118.513   62    - 341516.143 339446.126  0.61%  43.4  190s
 33849 29054 340431.774   51    - 341516.143 339446.126  0.61%  44.1  195s
 34405 29416 340541.874   52    - 341516.143 339446.126  0.61%  44.3  200s
 34962 29916 340951.926   32   33 341516.143 339446.126  0.61%  44.6  205s
 35497 30394 341302.536   57    - 341516.143 339446.126  0.61%  45.1  210s
 36186 30918 340055.411   56   32 341516.143 339446.126  0.61%  45.4  216s
 36628 31351 339744.866   31   33 341516.143 339446.126  0.61%  45.9  220s
 37256 31658 339736.648   57    - 341516.143 339446.126  0.61%  46.1  225s
H37300 31479                    341379.88312 339446.126  0.57%  46.2  225s
*37300 31479              70    341379.88312 339446.126  0.57%  46.2  225s
 37811 32065 339832.375   78    - 341379.883 339446.126  0.57%  46.5  230s
 38724 32696 340947.158   39   34 341379.883 339446.126  0.57%  47.3  235s
 39332 33033 339610.856   48    - 341379.883 339446.126  0.57%  47.8  240s
 39395 33305 340928.209   38   30 341379.883 339446.126  0.57%  47.9  245s
 39873 33608 340577.111   59    - 341379.883 339446.126  0.57%  48.0  250s
 40595 34215 340633.124   48   47 341379.883 339446.126  0.57%  48.5  256s
 40981 34594 340317.793   53    - 341379.883 339446.126  0.57%  48.7  260s
 41890 35240 341359.886   49    - 341379.883 339446.126  0.57%  49.2  265s
 42768 35930 339703.365   53    - 341379.883 339446.126  0.57%  49.7  270s
 43498 36699 340881.349   68    - 341379.883 339446.126  0.57%  49.9  275s
 44370 37456 339823.019   49   20 341379.883 339446.126  0.57%  50.3  282s
 44885 37932 339622.604   29   32 341379.883 339446.126  0.57%  50.3  285s
 45832 38347 339824.387   55    - 341379.883 339446.126  0.57%  50.5  290s
 46558 39365 339662.621   21   43 341379.883 339446.126  0.57%  50.6  296s
 47372 39881 340272.599   34   33 341379.883 339446.126  0.57%  51.1  300s
H47758 38300                    340981.28183 339446.126  0.45%  51.4  303s
*47758 38300              55    340981.28183 339446.126  0.45%  51.4  303s
 47792 38322 340960.444   54    - 340981.282 339446.126  0.45%  51.3  305s
 48452 39003 339941.084   34   29 340981.282 339446.126  0.45%  51.5  310s
 49127 39459 340537.448   63    - 340981.282 339446.126  0.45%  51.7  315s
 49466 39638 339834.028   50   19 340981.282 339446.126  0.45%  51.7  328s
 49557 39644 340925.771   47    - 340981.282 339446.126  0.45%  51.8  330s
 50211 40328 339979.405   30   33 340981.282 339446.126  0.45%  52.0  337s
 50686 40721 340045.506   37   33 340981.282 339446.126  0.45%  52.0  341s
 51234 41072 339986.964   32   33 340981.282 339446.126  0.45%  52.0  345s
 51749 41514 340890.416   46    - 340981.282 339446.126  0.45%  52.2  350s
 52720 42237 340260.588   43   33 340981.282 339446.126  0.45%  52.3  355s
 53393 42750 339914.113   57    - 340981.282 339446.126  0.45%  52.4  360s
 54270 43456 340422.499   40   32 340981.282 339446.126  0.45%  52.5  365s
 55262 43977 339815.614   30   32 340981.282 339446.126  0.45%  52.7  375s
 55622 44327 339980.914   54    - 340981.282 339446.126  0.45%  52.8  380s
 56026 44735 339699.141   54    - 340981.282 339446.126  0.45%  52.8  385s
 56886 45562 340972.647   63    - 340981.282 339446.126  0.45%  52.9  390s
 57865 46350 340567.397   40   33 340981.282 339446.126  0.45%  53.0  395s
 58554 46663 340711.441   74    - 340981.282 339446.126  0.45%  53.1  400s
 59280 47215 340581.476   44   33 340981.282 339446.126  0.45%  53.3  405s
H59467 46883                    340942.60837 339446.126  0.44%  53.4  407s
